All Transactions Announced Date,Target/Issuer,Exchange:Ticker,Transaction Types,Transaction Status,"Total Transaction Value (CADmm, Historical rate)",Buyers/Investors,Sellers,CIQ Transaction ID,Industry Classifications [Target/Issuer],Geographic Locations [Target/Issuer],Business Description [Target/Issuer],Exchange Country [Primary Listing] [Target/Issuer],Exchange Country [Secondary Listings] [Target/Issuer]
10/07/2019,KDA Group Inc. (TSXV:KDA),TSXV:KDA,Private Placement,Closed, 4.93 ,-,-,IQTR639715215,Health Care (Primary),Canada (Primary),"KDA Group Inc. provides pharmacy personnel replacement and vocational training services to health industry in the Province of Quebec, Canada. The company operates through Pharmacy Services and Pharmaceutical Solutions segments. It primarily offers replacement pharmacists and technical assistants. The company also provides consulting services to assist in optimizing pharmacy operations, including container-content verification delegation, optimization of laboratory operations, professional services and care plans, and inventory management. In addition, it is involved in the distribution of generic pharmaceutical products. The company was formerly known as AlliancePharma Inc. and changed its name to KDA Group Inc. in February 2017. KDA Group Inc. is headquartered in Thetford Mines, Canada.","TSXV:KDA
Company: KDA Group Inc.
(IQT282005982) - Canada",-
10/07/2019,Aquarius Surgical Technologies Inc. (CNSX:ASTI),CNSX:ASTI,Private Placement,Announced, 3.0 ,-,-,IQTR639716750,Health Care (Primary),Canada (Primary),"Aquarius Surgical Technologies Inc., through its subsidiary, Surgical Lasers Inc., engages in the development, sale, distribution, marketing, and exploitation of laser-driven technologies in for use in surgical environments, principally in the field of urology in North America. It provides multi-diode laser systems and related fibre-optic delivery devices for minimally invasive treatment of benign prostatic hyperplasia. The company also offers solutions comprising clinical education, service, support, and maintenance, as well as consumables. The company was formerly known as Aquarius Coatings Inc. Aquarius Surgical Technologies Inc. was incorporated in 1986 and is based in Toronto, Canada.","CNSX:ASTI
Company: Aquarius Surgical Technologies Inc.
(IQT536082025) - Canada",-
10/01/2019,Medicenna Therapeutics Corp. (TSX:MDNA),TSX:MDNA,Public Offering,Closed, 6.0 ,-,-,IQTR639082663,Health Care (Primary),Canada (Primary),"Medicenna Therapeutics Corp., a clinical stage immunotherapy company, develops and commercializes Empowered Cytokines (EC) and Superkines for the treatment of cancer. Its lead product is MDNA55, an interleukin- 4 (IL-4) EC that is in the Phase 2b clinical trial for the treatment of recurrent glioblastoma, as well as preclinical and clinical development stages for the treatment of other brain and non-brain tumors. The company also develops MDNA57 for solid tumors and non-malignant cells of the tumor micro-environment; MDNA109, an IL-2 agonist to treat cancer immunotherapies; MDNA209, an IL-2 antagonist for autoimmune diseases; MDNA413, a dual IL-4/IL-13 antagonist for the treatment of solid tumors, atopic dermatitis, asthma, and fibrosis; and MDNA132, an IL-13 agonist to treat solid tumors and IL 13Ralpha2 chimeric antigen receptor T cell. Medicenna Therapeutics Corp. is headquartered in Toronto, Canada.","TSX:MDNA
Company: Medicenna Therapeutics Corp.
(IQT421396443) - Canada",-
09/27/2019,Resverlogix Corp. (TSX:RVX),TSX:RVX,Private Placement,Closed, 15.92 ,-,-,IQTR638597253,Health Care (Primary),Canada (Primary),"Resverlogix Corp. operates as a late-stage clinical biotechnology company. It is developing apabetalone (RVX-208), a small molecule selective bromodomain and extra-terminal inhibitor that is in Phase III clinical trials for patients with cardiovascular, chronic kidney, end-stage renal, neurodegenerative, fabry, peripheral artery, and other orphan diseases, as well as diabetes mellitus. The company is headquartered in Calgary, Canada.","TSX:RVX
Company: Resverlogix Corp.
(IQT2590484) - Canada",-
09/26/2019,Cognetivity Neurosciences Ltd. (CNSX:CGN),CNSX:CGN,Private Placement,Closed, 0.164 ,-,-,IQTR638550602,Health Care (Primary),Canada (Primary),"Cognetivity Neurosciences Ltd. operates as a healthcare company. It develops integrated cognitive assessment, a cognitive testing platform, which includes visual stimulus based diagnostic test and artificial intelligence tools to support the early detection and monitoring of cognitive impairment in neurodegenerative diseases, such as Alzheimer’s and dementia. The company is headquartered in Vancouver, Canada.","CNSX:CGN
Company: Cognetivity Neurosciences Ltd.
(IQT556284961) - Canada",-
09/24/2019,Premier Health Group Inc. (CNSX:PHGI),CNSX:PHGI,Private Placement,Closed, 2.1 ,-,-,IQTR638203000,Health Care (Primary),Canada (Primary),"Premier Health Group Inc., together with its subsidiaries, operates and manages primary care clinics in Canada and the Dominican Republic. It operates four primary care clinics based in the Lower Mainland in British Columbia. The company also focuses on developing proprietary technology through the combination of connected primary care clinics with telemedicine and artificial intelligence. The company was formerly known as Premier Health Services Inc. and changed its name to Premier Health Group Inc. in September 2015. Premier Health Group Inc. was incorporated in 2013 and is headquartered in Vancouver, Canada.","CNSX:PHGI
Company: Premier Health Group Inc.
(IQT316965305) - Canada",-
09/23/2019,Titan Medical Inc. (TSX:TMD),TSX:TMD,Public Offering,Announced, 32.9 ,-,-,IQTR638083729,Health Care (Primary),Canada (Primary),"Titan Medical Inc., a research and development stage company, focuses on the design, development, and commercialization of computer-assisted robotic surgical technologies for application in minimally invasive surgery (MIS). The company is developing the SPORT Surgical System, a single-port robotic surgical system that comprises a surgeon-controlled patient cart, which includes a 3D vision system and multi-articulating instruments for performing MIS procedures; and a surgeon workstation that provides the surgeon with ergonomic interface to the patient cart and a 3D endoscopic view inside the patient’s body during MIS procedures. The SPORT Surgical System enables surgeons to perform surgical procedures for gynecologic, urologic, colorectal, and general abdominal indications. Titan Medical Inc. is headquartered in Toronto, Canada.","TSX:TMD
Company: Titan Medical Inc.
(IQT47190779) - Canada",-
09/20/2019,BriaCell Therapeutics Corp. (TSXV:BCT),TSXV:BCT,Private Placement,Closed, 0.568 ,Stratpath Management Inc.,-,IQTR637843558,Health Care (Primary),Canada (Primary),"BriaCell Therapeutics Corp., an immuno-oncology focused biotechnology company, engages in developing approaches for the management of cancer. The company, in collaboration with Incyte Corp., is conducting a Phase I/IIa clinical trial of Bria-IMT, its lead candidate, in a combination study with Incyte drugs, INCMGA00012 and epacadostat, in advanced breast cancer. It also develops Bria-OTS, an off-the-shelf personalized immunotherapy, for advanced breast cancer. The company was incorporated in 2006 and is headquartered in West Vancouver, Canada.","TSXV:BCT
Company: BriaCell Therapeutics Corp.
(IQT29557279) - Canada",-
09/19/2019,Eyecarrot Innovations Corp. (TSXV:EYC),TSXV:EYC,Private Placement,Announced, 2.25 ,-,-,IQTR637706169,Health Care (Primary),Canada (Primary),"Eyecarrot Innovations Corp. develops and commercializes visual and neuro-cognitive processing products, and hardware and software for diagnosing and remediating visual perception disorders. The company’s products include Binovi Touch, a tool for vision therapy and vision training; Binovi Pro, which allows doctors/trainers to manage various aspects of patient/athlete’s vision training regimens, track progress, and plan and assign protocols; Binovi Coach, a tool that allows users to complete their assigned activities through clear multimedia guidance; and Binovi Academy, an educational hub. The company was formerly known as Nanton Nickel Corp. and changed its name to Eyecarrot Innovations Corp. in June 2015. Eyecarrot Innovations Corp. is based in Oakville, Canada.","TSXV:EYC
Company: Eyecarrot Innovations Corp.
(IQT202354752) - Canada",-
09/16/2019,SQI Diagnostics Inc. (TSXV:SQD),TSXV:SQD,Private Placement,Closed, 3.23 ,-,-,IQTR637177201,Health Care (Primary),Canada (Primary),"SQI Diagnostics Inc., a life sciences company, develops and commercializes proprietary technologies and products for advanced multiplexing diagnostics in Canada. The company offers sqidworks diagnostic platform, a fully-automated microarray processing and analytical system; sqidlite benchtop diagnostic platform, a fully automated bench top microarray processing and analytical system; and sqid-X, a semi-automated bench-top platform. Its products are used in immunogenicity and bioanalysis, IVD and clinical, biomarkers, and assay development applications. SQI Diagnostics Inc. has a co-develop and licensing agreement with McMaster University Department of Engineering to develop chip technology for use in multi-array disease testing; and research and development agreements with University Health Network to create and license rapid multiplexed protein assays, as well as a point-of-care diagnostic device to enable transplant surgeons assess the suitability of lungs and other organs for transplantation. The company was founded in 1999 and is headquartered in Toronto, Canada.","TSXV:SQD
Company: SQI Diagnostics Inc.
(IQT34231255) - Canada",-
09/13/2019,DIAGNOS Inc. (TSXV:ADK),TSXV:ADK,Private Placement,Closed, 0.55 ,-,-,IQTR636919887,Health Care (Primary),Canada (Primary),"DIAGNOS Inc. provides software-based interpretation services in Canada, the United States, Kenya, the United Arab Emirates, Saudi Arabia, Mexico, and internationally. It offers image analysis services through Computer Assisted Retinal Analysis, a software tool that assists health specialists in the detection of diabetic retinopathy. The company was founded in 1998 and is headquartered in Brossard, Canada.","TSXV:ADK
Company: DIAGNOS Inc.
(IQT2605851) - Canada",-
09/13/2019,Aurinia Pharmaceuticals Inc. (TSX:AUP),TSX:AUP,Public Offering,Announced, 53.05 ,-,-,IQTR636953574,Health Care (Primary),Canada (Primary),"Aurinia Pharmaceuticals Inc., a clinical stage biopharmaceutical company, engages in the research, development, and commercialization of therapeutic drugs for the treatment of various diseases in the United States and China. The company is involved in developing voclosporin, an investigational drug for the treatment of lupus nephritis, dry eye syndrome, and focal segmental glomerulosclerosis. Aurinia Pharmaceuticals Inc. is headquartered in Victoria, Canada.","TSX:AUP
Company: Aurinia Pharmaceuticals Inc.
(IQT2622592) - Canada",-
09/12/2019,Profound Medical Corp. (TSX:PRN),TSX:PRN,Public Offering,Closed, 9.04 ,-,-,IQTR636831006,Health Care (Primary),Canada (Primary),"Profound Medical Corp. operates as a medical technology company focuses on magnetic resonance guided ablation procedures in Canada, Germany, and Finland. It is developing a treatment to ablate the prostate gland in prostate cancer patients, treatment of uterine fibroids and nerves, and palliative pain treatment for patients with metastatic bone disease. The company is headquartered in Mississauga, Canada.","TSX:PRN
Company: Profound Medical Corp.
(IQT269189531) - Canada",-
09/12/2019,Profound Medical Corp. (TSX:PRN),TSX:PRN,Public Offering,Closed, 0.957 ,-,-,IQTR637408022,Health Care (Primary),Canada (Primary),"Profound Medical Corp. operates as a medical technology company focuses on magnetic resonance guided ablation procedures in Canada, Germany, and Finland. It is developing a treatment to ablate the prostate gland in prostate cancer patients, treatment of uterine fibroids and nerves, and palliative pain treatment for patients with metastatic bone disease. The company is headquartered in Mississauga, Canada.","TSX:PRN
Company: Profound Medical Corp.
(IQT269189531) - Canada",-
09/10/2019,Vaxil Bio Ltd. (TSXV:VXL),TSXV:VXL,Private Placement,Announced, 0.75 ,-,-,IQTR636575767,Health Care (Primary),Canada (Primary),"Vaxil Bio Ltd., an immunotherapy biotech company, engages in the research and development of immunotherapies for cancer and infectious diseases in Israel. The company’s lead product is ImMucin that has completed a Phase1/2 clinical trial, which is used for the treatment of multiple myeloma. It is also involved in developing a tuberculosis vaccine/treatment. The company was founded in 2006 and is headquartered in Toronto, Canada.","TSXV:VXL
Company: Vaxil Bio Ltd.
(IQT115279018) - Canada",-
09/10/2019,EXMceuticals Inc. (CNSX:EXM),CNSX:EXM,Private Placement,Closed, 2.0 ,-,-,IQTR636641418,Health Care (Primary),Canada (Primary),"EXMceuticals Inc. engages in the sustainable cultivation, processing, and export of non-psychotropic and psychotropic pharmaceutical-grade cannabinoid ingredients from Africa. If focuses on offering Cannabidiol (CBD), a non-psychoactive cannabinoid that has been proven effective against acne, anxiety, depression, epilepsy, and degenerative diseases, such as Parkinson’s; and Tetrahydrocannabinol (THC), a psychoactive cannabinoid ingredient that has been proven effective in the fields of pain management, appetite control, anxiety, and managing side effects of chemotherapy. The company was founded in 2017 and is headquartered in Vancouver, Canada.","CNSX:EXM
Company: EXMceuticals Inc.
(IQT595175052) - Canada",-
09/09/2019,BriaCell Therapeutics Corp. (TSXV:BCT),TSXV:BCT,Private Placement,Closed, 0.221 ,-,-,IQTR636558509,Health Care (Primary),Canada (Primary),"BriaCell Therapeutics Corp., an immuno-oncology focused biotechnology company, engages in developing approaches for the management of cancer. The company, in collaboration with Incyte Corp., is conducting a Phase I/IIa clinical trial of Bria-IMT, its lead candidate, in a combination study with Incyte drugs, INCMGA00012 and epacadostat, in advanced breast cancer. It also develops Bria-OTS, an off-the-shelf personalized immunotherapy, for advanced breast cancer. The company was incorporated in 2006 and is headquartered in West Vancouver, Canada.","TSXV:BCT
Company: BriaCell Therapeutics Corp.
(IQT29557279) - Canada",-
09/03/2019,BELLUS Health Inc. (TSX:BLU),TSX:BLU,Public Offering,Closed, 92.06 ,-,-,IQTR635507059,Health Care (Primary),Canada (Primary),"BELLUS Health Inc., a clinical-stage biopharmaceutical company, develops novel therapeutics for conditions with high unmet medical need. Its lead drug candidate includes BLU-5937, a small molecule antagonist of the P2X3 receptor for chronic cough. The company also has economic interests in various partnered development stage programs, including KIACTA for the treatment of sarcoidosis; AMO-01 for treatment of Phelan McDermid syndrome; and ALZ-801 for APOE4 homozygous Alzheimer’s disease. BELLUS Health Inc. was founded in 1993 and is headquartered in Laval, Canada.","TSX:BLU
Company: BELLUS Health Inc.
(IQT45480612) - Canada",-
08/29/2019,Titan Medical Inc. (TSX:TMD),TSX:TMD,Public Offering,Announced, 46.54 ,-,-,IQTR635055643,Health Care (Primary),Canada (Primary),"Titan Medical Inc., a research and development stage company, focuses on the design, development, and commercialization of computer-assisted robotic surgical technologies for application in minimally invasive surgery (MIS). The company is developing the SPORT Surgical System, a single-port robotic surgical system that comprises a surgeon-controlled patient cart, which includes a 3D vision system and multi-articulating instruments for performing MIS procedures; and a surgeon workstation that provides the surgeon with ergonomic interface to the patient cart and a 3D endoscopic view inside the patient’s body during MIS procedures. The SPORT Surgical System enables surgeons to perform surgical procedures for gynecologic, urologic, colorectal, and general abdominal indications. Titan Medical Inc. is headquartered in Toronto, Canada.","TSX:TMD
Company: Titan Medical Inc.
(IQT47190779) - Canada",-
