Deal ID,Company Name,Deal Date,Deal Type,Deal Type 2,Deal Size,Post Valuation,Deal Synopsis,Deal Status,Financing Status,Business Status,Investors,Primary Industry Code,Verticals,Description,HQ Location,Company Website,PitchBook Link
125001-64T,NERv Technology,16-Oct-2019,Seed Round,Seed Round,0.75,,"The company raised CAD 1 million of seed funding from Sunhope Capital and other undisclosed angel investors on October 16, 2019. The funds will be used to cover costs associated with preclinical research and will help the company develop a flagship post-operative surgery platform.",Completed,Venture Capital-Backed,Startup,Sunhope Capital,Monitoring Equipment,"HealthTech, TMT","Provider of a biosensors technology platform intended to offer implantable biochip to detect post-operative complications. The company's platform develops implantable biochip to save lives and reduce the risks that are associated with surgeries by monitoring the patient's health after a surgical operation, enabling patients to reduce post-operative complications.","Kitchener, Canada",www.ne-rv.com,View company online
127180-63T,Ultimate Kiosk,15-Oct-2019,Angel (individual),Angel (individual),1.50,5.50,"The company is in the process of raising $1.5 million of angel funding from undisclosed investors on October 15, 2019, putting the company's pre-money valuation at $4 million.",Announced/In Progress,Pending Transaction (Angel),Restart,,Other Healthcare Services,"AdTech, TMT","Provider of an AI-enabled platform designed to deliver hearing health screening software and supply chain solutions to those millions in need both by linking them the following testing to hearing health professionals (family physicians, pharmacies, dispensers, etc.) as well as by supplying solutions directly via the Internet. The company's technologies represent the best of health tech as they are unique in providing hearing and hearing device triage in an audiologically rigorous fashion. In so doing, they contribute to educating consumers about the importance of their hearing health and eliminate barriers by making health information, personal screening and care options more accessible and stress-free. This is particularly advantageous now as the industry is disrupted by deregulation, the availability of devices OTC and the growing pervasiveness of end to end online services.","Niagara-on-the-Lake, Canada",www.ultimatekiosk.com,View company online
124937-47T,Creatus Biosciences,15-Oct-2019,Angel (individual),Angel (individual),0.22,,"The company raised $218,146 of angel funding from WUTIF Capital and other undisclosed investors on October 15, 2019.",Completed,Angel-Backed,Startup,WUTIF Capital,Biotechnology,Life Sciences,"Developer of proprietary mixed-sugar biorefinery platforms designed to produce high value low volume chemicals. The company's platform specializes in producing high value low volume chemicals from 2nd generation feedstocks, enabling industries to produce-agnostic xylose utilization as a drop-in solution across a number of industry verticals.","West Vancouver, Canada",www.creatusbio.com,View company online
109312-21T,Neurodyn Cognition,09-Oct-2019,Angel (individual),Angel (individual),7.95,,"The company raised $7.95 million of angel funding from undisclosed investors on October 9, 2019.",Completed,Angel-Backed,Clinical Trials - Phase 1,,Drug Discovery,,"Operator of a drug development company intended to offer Alzheimer's and Parkinson's therapeutics. The company's drug is a pro-drug of an approved AD drug and has no side effects, high brain delivery featuring alpha-7 potentiation, enabling patients to prevent and treat Alzheimer disease.","Vancouver, Canada",www.neurodyncognition.ca,View company online
115491-97T,AmacaThera,03-Oct-2019,Seed Round,Seed Round,2.72,,"The company raised CAD 3.6 million of seed funding in a deal led by Viva biotech and Sprout Bioventures on October 3, 2019. Grey Sky Venture Partners and Lumira Ventures also participated in the round.",Completed,Venture Capital-Backed,Startup,"Grey Sky Venture Partners, Lumira Ventures, Sprout Bioventures, Viva biotech (HKG: 01873)",Biotechnology,Life Sciences,"Developer of a biomaterial intended to provide commercialization of a hydrogel platform for sustained drug release. The company's offerings include a fast gelling material that liquefies under force and it is a reversible and fast gelling physical blend of hyaluronan (HA) and methylcellulose (MC), enabling doctors to help reduce patients post-operative pain.","Toronto, Canada",www.amacathera.ca,View company online
124170-13T,Chronometriq,01-Oct-2019,Later Stage VC,,20.00,,"The company raised $20 million of venture funding in a deal led by Full in Venture Partners on October 1, 2019. Other undisclosed investors also participated in the round. The funds will be used by the company to consolidate further its leadership position in Canada and increase traction in the United States.",Completed,Venture Capital-Backed,Generating Revenue,Full in Venture Partners(Elodie Dupuy),Business/Productivity Software,"HealthTech, SaaS, TMT","Developer of a Saas based online healthcare appointment booking platform designed to improve the quality of the experience of care for patients. The company's platform offers online appointment booking services, automated reminders and medical self-service terminal services, enabling healthcare professionals to reduce absenteeism, decrease their operating costs and find new patients.","Montreal, Canada",www.chronometriq.com,View company online
124034-05T,iVexSol,24-Sep-2019,Seed Round,Seed Round,2.00,,"The company raised $2 million of seed funding in a deal led by Biolife Solutions and Casdin Capital on September 24, 2019. The funding was received in the form of convertible debt. The funds will be used to advance the development of solutions.",Completed,Venture Capital-Backed,Startup,"Biolife Solutions (NAS: BLFS), Casdin Capital",Drug Delivery,Manufacturing,"Developer of a next generation lentiviral vector (LVV) manufacturing technology designed to supply a consistent source of vectors for successful gene therapy programs. The company's next generation lentiviral vector (LVV) manufacturing technologyis used for the production of gene delivery vehicles that are a critical component in the manufacturing of life-changing cell and gene therapies, enabling physicians to treat late stage cancers and a variety of rare and inherited genetic disorders in both children and adults.",Canada,www.ivexsol.com,View company online
124085-26T,Maple,24-Sep-2019,Accelerator/Incubator,,0.08,,"The company joined The Lazaridis Institute as part off fifth cohort of ScaleUp Program on September 24, 2019 and received CAD 100,000 in funding.",Completed,Accelerator/Incubator Backed,Generating Revenue,The Lazaridis Institute(Kim Morouney),Other Healthcare Technology Systems,"HealthTech, TMT","Developer of an online medical consultation platform intended to accelerate the world's journey to a sustainable health system. The company's platform features a network of experts and specialists with an access to highly regarded Canadian licensed physicians and permits diagnosis of illnesses and prescription of medicines, enabling patients to receive a 24/7 diagnosis and improved health outcomes.","Toronto, Canada",www.getmaple.ca,View company online
124088-68T,KA Imaging,24-Sep-2019,Accelerator/Incubator,,,,"The company joined The Lazaridis's ScaleUp Program as a part of its fifth cohort on September 24, 2019.",Completed,Accelerator/Incubator Backed,Generating Revenue,The Lazaridis Institute,Diagnostic Equipment,"HealthTech, Life Sciences, Oncology","Developer of a digital X-ray detector designed to improves visualization of materials with varying densities. The company's detector is an economical port, bag and belt system for urostomy patients that aims to reduce their rate of complications, facilitate application and reduce social stigma, enabling doctors to improve the quality of life of bladder cancer patients.","Kitchener, Canada",www.kaimaging.com,View company online
125939-89T,Nanogenecs,23-Sep-2019,Accelerator/Incubator,,,,"The company joined VentureWell as part of its Fall 2019 Medtech Cohort on September 23, 2019.",Completed,Venture Capital-Backed,Generating Revenue,VentureWell,Monitoring Equipment,"Digital Health, HealthTech, Nanotechnology, TMT","Developer of a medical diagnostic device designed to provide biomarker-based information to patients and healthcare professionals. The company's device helps to measure heart health, blood chemistry, inflammation and disease biomarkers, as well as helps in optimizing workouts through blood sample analysis, enabling patients to manage pre-existing conditions, detect the onset of diseases and to understand their genomic risk profile to help them live longer and healthier lives.","Montreal, Canada",www.nanogenecs.com,View company online
123712-66T,Maple,18-Sep-2019,Early Stage VC,Series A,10.93,,"The company raised CAD 14.5 million of Series A venture funding in a deal led by Acton Capital Partners on September 18, 2019. SE Health also participated in the round. The company intends to use the funds to expand its hospital and home care arms, and invest in developing its product, which gives people online access to 400 health care practitioners in areas like dermatology, psychotherapy, and lactation consulting.",Completed,Venture Capital-Backed,Generating Revenue,"Acton Capital Partners, SE Health",Other Healthcare Technology Systems,"HealthTech, TMT","Developer of an online medical consultation platform intended to accelerate the world's journey to a sustainable health system. The company's platform features a network of experts and specialists with an access to highly regarded Canadian licensed physicians and permits diagnosis of illnesses and prescription of medicines, enabling patients to receive a 24/7 diagnosis and improved health outcomes.","Toronto, Canada",www.getmaple.ca,View company online
123239-71T,Snapclarity,11-Sep-2019,Early Stage VC,,,,"The company raised an undisclosed amount of venture funding from Relentless Venture Fund on September 11, 2019.",Completed,Venture Capital-Backed,Generating Revenue,Relentless Venture Fund(Brenda Irwin),Outcome Management (Healthcare),"Digital Health, HealthTech, Mobile, SaaS, TMT","Developer of a digital mental wellbeing and healthcare platform designed to transform how mental health support is accessed, delivered and experienced. The company's platform links clients to a therapist that matches their personal needs based on the assessment result allowing them to connect through text messages and live video sessions, enabling patients to get a personalized treatment plan matching with the specialized therapist.","Toronto, Canada",www.snapclarity.com,View company online
122910-31T,Repare Therapeutics,04-Sep-2019,Early Stage VC,Series B,82.50,,"The company raised $82.5 million of Series B venture funding in a deal led by Cowen Group on September 4, 2019. Fonds de solidarité FTQ, OrbiMed, Versant Venture Management, MPM Capital, BDC Capital, Logos Capital, Redmile Group,Amplitude Ventures and BVF Partners also participated in this round. The funds will be used to take ATR inhibitor RP-3500 into the clinic next year.",Completed,Venture Capital-Backed,Generating Revenue,"Amplitude Ventures, BDC Capital, Business Development Bank of Canada, BVF Partners, Cowen Group (NAS: COWN)(Kevin Raidy), Fonds de solidarité FTQ, HealthCare Royalty Partners, Logos Capital, MPM Capital(Briggs Morrison), OrbiMed(David Bonita), Redmile Group, Versant Venture Management(Jerel Davis)",Drug Discovery,"Life Sciences, Oncology","Developer of oncology drugs designed to target specific vulnerabilities of tumor cells. The company's drugs combine a proprietary high throughput gene-editing and target discovery method with high-resolution protein crystallography, computational biology and clinical informatics, enabling patients to improve cancer treatment both with single therapy and in combination with existing drugs and treatments.","Montreal, Canada",www.reparerx.com,View company online
126513-64T,KOP Therapeutics,03-Sep-2019,Angel (individual),Angel (individual),0.90,,"The company raised $900,000 of angel funding from undisclosed investors on September 3, 2019.",Completed,Angel-Backed,Startup,,Drug Discovery,"Life Sciences, Oncology","Operator of a medical research company intended to uncover groundbreaking technology to fight cancer with minimal side effects. The company is currently working on a technology, termed Antisense Oligonucleotide (""AON"") therapy, that targets the process by which the DNA of specific genes is translated into disease-causing proteins - in effect silencing the cancer-causing genes, providing medical practitioners with a drug that selectively target cancer cells, while avoiding normal cells, thereby minimizing toxicity.","Vancouver, Canada",koptherapeutics.com,View company online
124763-32T,BioInteractive Technologies,01-Sep-2019,Early Stage VC,,,,"The company raised an undisclosed amount of venture funding from Keiretsu Forum on September 1, 2019.",Completed,Venture Capital-Backed,Generating Revenue,Keiretsu Forum,Therapeutic Devices,"Artificial Intelligence & Machine Learning, Augmented Reality, Mobile, TMT, Wearables & Quantified Self","Developer of an AI recognition software designed to recognize users' hand and arm movement in real-time. The company's software provides wearable wristbands embedded with sensors in the wrist-straps integrated with connected devices over bluetooth low energy via its application, enabling patients to make an effective and expedient recovery restoring their quality of life.","Vancouver, Canada",www.biointeractivetech.com,View company online
123203-98T,ACGT DNA Technologies,29-Aug-2019,Angel (individual),Angel (individual),0.81,,"The company raised CAD 1.07 million of angel funding from undisclosed investors on August 29, 2019. Of the total amount, CAD 0.1 was originally raised in the form of convertible debt and subsequently converted to equity.",Completed,Angel-Backed,Generating Revenue,,Biotechnology,"Life Sciences, Manufacturing","Manufacturer of oligonucleotide intended to provide DNA sequencing and molecular services. The company's product is analyzed by high performance liquid chromatography to ensure minimum purity specifications and minimum yield is met, enabling medical companies to offer cost-effective and high quality oligonucleotides.","Toronto, Canada",www.acgtcorp.com,View company online
117863-20T,Fusion Pharmaceuticals,27-Aug-2019,Early Stage VC,Series B,140.00,,"The company raised $140 million of Series B venture funding in a deal led by Varian Medical Systems and OrbiMed on August 27, 2019. Johnson & Johnson Innovation - JJDC, Adams Street Partners, Seroba Life Sciences, Nan Fung Life Sciences, HealthCap, TPG Biotech, Genesys Capital, Fight Against Cancer Innovation Trust, Pivotal BioVentures China, Rock Springs Capital and Perceptive Advisors also participated in the round. The funds will be used to advance and broaden the scope of the company's ongoing clinical program in targeted alpha therapeutics as well as to accelerate a pipeline of new radiopharmaceuticals and combination therapy strategies.",Completed,Venture Capital-Backed,Clinical Trials - Phase 1,"Adams Street Partners(Terry Gould), Fight Against Cancer Innovation Trust, Genesys Capital, HealthCap(Johan Christenson), Johnson & Johnson Innovation - JJDC(Asish Xavier), NFLS - Pivotal(Heather Preston), OrbiMed(Chau Khuong), Perceptive Advisors, Pivotal BioVentures China, Rock Springs Capital, Seroba Life Sciences(Alan O'Connell), TPG Biotech(Eran Nadav), Varian Medical Systems (NYS: VAR)(Deepak Khuntia)",Drug Discovery,"Life Sciences, Oncology","Developer of novel alpha-particle radiotherapeutics intended to facilitate cancer treatment. The company's therapeutics combines the precision targeting of an antibody with the potency of alpha-particle emitting medical isotopes to specifically attack and eradicate cancer cells across multiple tumor types, enabling medical practitioners to treat cancer and tumors effectively at a faster rate.","Hamilton, Canada",www.fusionpharma.com,View company online
123782-68T,Aifred Health,27-Aug-2019,Seed Round,Seed Round,0.37,,"The company raised CAD 490,000 of seed funding from MEDTEQ and Anges Québec on August 27, 2019. Other undisclosed investors also participated in the round. The company intends to use the funding to validate its business model to further its expansion and launch the first generation of its application.",Completed,Venture Capital-Backed,Generating Revenue,"Anges Québec, MEDTEQ",Decision/Risk Analysis,"Artificial Intelligence & Machine Learning, HealthTech, TMT","Developer of a clinical decision aid platform intended to help physicians make better treatment decisions in mental healthcare. The company's platform utilizes machine learning technology that helps doctors and patients track data about mental health treatments that doctors are providing to patients and their responses to them to determine what is most effective for each individual and also helps map that data to best-practice guidelines and uses AI to help personalize treatment options, enabling doctors and physicians to reduce time to patient recovery, thereby decreasing associated costs.","Montreal, Canada",www.aifredhealth.com,View company online
124832-62T,Chronophotonix,27-Aug-2019,Later Stage VC,,,,"The company raised an undisclosed amount of venture funding from Fonds Innovexport on August 27, 2019.",Completed,Venture Capital-Backed,Generating Revenue,Fonds Innovexport,Electronics (B2C),,"Developer of a biological stimulator designed to simulate alertness and improve sleep pattern. The company's biological stimulator acts as a trigger to the biological clock to improve the level of alertness of users when exposed to conditions conducive to decreased attention and the filtering lenses block the stimulating light wavelenghts, from natural or artificial sources, enabling night workers to give less stress to their eyes and increase safety when driving night.","Quebec City, Canada",www.chronophotonix.com,View company online
122566-24T,Essa Pharma (TSX: EPI),23-Aug-2019,Public Investment 2nd Offering,,36.00,,"The company filed for a second public offering on the TSX Venture Exchange under the ticker symbol of EPI on August 23, 2019. They intend to sell 18,000,000 shares at a price of $2 per share. The expected offering amount is $36 million.",Announced/In Progress,Formerly PE-Backed,Generating Revenue,,Pharmaceuticals,"Life Sciences, Oncology","ESSA Pharma Inc is a pharmaceutical company. The company is in preclinical stage, focused on the development of small molecule drugs for the treatment of castration-resistant prostate cancer. The company is developing drugs which selectively block the amino-terminal domain of the androgen receptor, potentially overcoming the known AR-dependent resistance mechanisms of CRPC and providing CRPC patients with the potential for increased progression-free and overall survival.","Vancouver, Canada",www.essapharma.com,View company online
122407-75T,Chinook Therapeutics,22-Aug-2019,Early Stage VC,Series A,65.00,,"The company raised $65 million of Series A venture funding in a deal led by Versant Venture Management on August 22, 2019. Apple Tree Partners and Samsara BioCapital also participated in the round. The funds will be used for advancement of several kidney disease programs into clinical trials by 2021.",Completed,Venture Capital-Backed,Pre-Clinical Trials,"Apple Tree Partners(Samuel Hall), Samsara BioCapital(Srinivas Akkaraju), Versant Venture Management(Jerel Davis)",Drug Discovery,Life Sciences,"Developer of proprietary discovery platform intended to research precision medicines for kidney diseases. The company is on research stage, which leverages single cell RNA sequencing, human-derived organoids and new translational models and to discover and develop therapeutics with novel mechanisms of action against key disease pathways in kidney disease, enabling patients to have cost effective treatments often leading to dialysis, transplantation and high costs to health care systems.","Vancouver, Canada",www.chinooktx.com,View company online
122350-96T,Sequence Bio,21-Aug-2019,Accelerator/Incubator,,0.15,,"The company graduated from Y Combinator as part of the Summer 2019 class on August 21, 2019 and received $150,000 in funding. The funding was raised in the form of SAFE notes.",Completed,Venture Capital-Backed,Generating Revenue,Y Combinator,Biotechnology,Life Sciences,"Provider of drugs designed to discover better and safer medicines and improve the treatment of a disease. The company's drugs are used to treat complex and inherited diseases, enabling healthcare providers to improve the lives of the patients.","Saint John's, Canada",www.sequencebio.com,View company online
123878-35T,Ourotech,20-Aug-2019,Accelerator/Incubator,,0.07,0.68,"The company joined SOSV as a part of RebelBio accelerator program on August 20, 2019 and received EUR 60,000 in funding.",Completed,Accelerator/Incubator Backed,Generating Revenue,SOSV(Bill Liao),Biotechnology,"Life Sciences, Oncology","Developer of proprietary biomedical technologies designed for the treatment of cancer through the measurement of drug resistance on patients. The company's technologies use a proprietary hydrogel that can grow tumors outside the human body and replicate drug resistance in the human body thus the effectiveness of drugs and combination treatments eliminate the trial and error process involved in cancer treatment, enabling patients to receive the right treatment sooner.","Waterloo, Canada",www.ourotech.ca,View company online
123697-54T,Lilia,18-Aug-2019,Seed Round,Seed Round,0.80,,"The company raised $800,000 of seed funding from Panache Ventures, Hustle Fund and Ramen Ventures on August 18, 2019. Huda Idrees and Michele Romanow also participated in the round.",Completed,Venture Capital-Backed,Startup,"Huda Idrees, Hustle Fund(Eric Bahn), Michele Romanow(Michele Romanow), Panache Ventures, Ramen Ventures",Other Devices and Supplies,FemTech,"Developer of a fertility hormone testing device intended for women. The company's device tests & collect a bit of blood from a finger prick and then ship it to the lab and see physician-reviewed results online, allowing its users to learn about your egg count, menopause timing.","Toronto, Canada",www.hellolilia.com,View company online
125313-67T,Oncolytics Biotech (TSE: ONC),16-Aug-2019,Public Investment 2nd Offering,,2.84,,"The company raised CAD 3.74 million in its secondary public offering on the Toronto Stock Exchange under the ticker symbol of ONC on August 16, 2019. A total of 4,619,773 shares were sold at CAD 0.81 per share.",Completed,Corporation,Generating Revenue/Not Profitable,,Pharmaceuticals,"Life Sciences, Oncology","Oncolytics Biotech Inc is a development stage biotechnology company. It focuses on discovery and development of pharmaceutical products for the treatment of cancers that have not been treated with therapeutics. Its main product is Reolysin. The company also has patents issued worldwide, mainly in US and Canada. Its clinical development plan has the approval of its products as quickly as possible and expands its products into commercially valuable new treatment areas as objectives.","Calgary, Canada",,View company online
122115-52T,Tevosol,15-Aug-2019,Seed Round,Seed Round,1.52,,"The company raised CAD 2 million of seed funding from undisclosed investors on August 15, 2019. The funds will be used by the company to complete a proof-of-concept human trial at the University of Alberta, expand its product engineering and industrial design team and accelerate commercial development of its portable perfusion machine for lungs.",Completed,Angel-Backed,Startup,,Surgical Devices,,"Developer of a portable warm perfusion device designed to transplant human body organs. The company's device uses most advanced transplant technologies to offer better recovery of organs, better resuscitation of dysfunctional organs and offers longer preservation of function with the opportunity for ex-vivo treatment, enabling medical professionals to transplant human body organs with full safety.","Edmonton, Canada",www.tevosol.com,View company online
